modelo,estrategia,MAE_test,RMSE_test,Tweedie_deviance_test,Oracle_MAE,Oracle_RMSE,Oracle_correlation
Random Forest F×S,Frecuencia × Severidad,3207.9914775421835,6446.506812748682,1179.88951526478,423.43244883910836,701.5995287520011,0.9177400949844506
XGBoost F×S,Frecuencia × Severidad,3175.1278874080385,6426.867103123099,1171.3891617041631,338.7438180130431,598.3041709344649,0.9489125728177231
Random Forest directo,Directo,3226.327925769009,6438.165606934245,1184.5414428075935,505.275560969306,743.1926510087349,0.8847980065135168
XGBoost directo,Directo,3185.2374484377337,6391.374675809647,1159.8190718703001,308.0725671797048,522.9304629814345,0.9515247911017435
